Date,Station.Code,Time,WeatherCode,Tide,YSI..,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity,StartTime,StopTime,SetTime,DriftStartMeter,DriftEndMeter,FlowMeterSpeed,ConditionCode,Count,Category,Phylum,Class,Order,Family,Species,PhysicalDataID,OrganismID,InvertDataID,InvertCatchID,Distance,Volume,CPUE,Year,Month
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneida,,,93,58,107,647,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Ephemeroptera,Baetidae,,93,41,107,636,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,2,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Cypridae,,93,14,107,633,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,7,Terrestrial Non-Insects,Arthropoda,Entognatha,Collembola,,,93,68,107,644,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,3,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Tubificidae,,93,5,107,631,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,3,Aquatic Insects,Anthropoda,Insecta,Diptera,Ephydridae,,93,36,107,642,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,2,Terrestrial Insects,Arthropoda,Insecta,Diptera,,,93,64,107,645,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Ephemeroptera,Caenidae,,93,40,107,637,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Diptera,Culicidae,,93,49,107,640,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Non-Insects,Arthropoda,Malacostraca,Mysidacea,Mysidae,,93,13,107,634,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,2,Aquatic Non-Insects,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,93,9,107,635,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,4,Aquatic Insects,Anthropoda,Insecta,Odonata,Coenagrionidae,,93,46,107,638,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,88,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,,93,34,107,639,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,10,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Naididae,,93,4,107,630,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Non-Insects,Nematoda,Adenophorea,Dorylaimida,Dorylaimidae,,93,23,107,628,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,4,Aquatic Non-Insects,Annelida,Oligochaeta,Haplotaxida,Enchytraeidae,,93,2,107,632,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,9,Terrestrial Insects,Arthropoda,Insecta,Hymenoptera,,,93,66,107,646,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,2,Aquatic Non-Insects,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,,93,77,107,643,NA,NA,NA,1998,2
2/3/98,SHR,9:13,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,9:13,9:49,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Diptera,Simuliidae,,93,38,107,641,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,3,Aquatic Non-Insects,Arthropoda,Crustacea,Ostracoda,Cypridae,,105,14,119,800,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Coleoptera,Hydrophilidae,,105,81,119,802,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,2,Terrestrial Non-Insects,Arthropoda,Arachnida,Araneida,,,105,58,119,807,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,2,Terrestrial Insects,Arthropoda,Insecta,Coleoptera,,,105,63,119,806,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,64,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,,105,34,119,803,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Diptera,Ephydridae,,105,36,119,804,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,1,Terrestrial Non-Insects,Arthropoda,Entognatha,Collembola,,,105,68,119,805,NA,NA,NA,1998,2
2/3/98,STTD,7:59,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,7:59,8:35,36,NA,NA,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Odonata,Coenagrionidae,,105,46,119,801,NA,NA,NA,1998,2
2/4/98,SHR,10:30,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:30,11:00,30,294066,341697,Regular,NA,2,Aquatic Insects,Anthropoda,Insecta,Diptera,Simuliidae,,94,38,108,666,1279.989143,2.23E-05,89588.0415,1998,2
2/4/98,SHR,10:30,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:30,11:00,30,294066,341697,Regular,NA,2,Terrestrial Insects,Arthropoda,Insecta,Coleoptera,,,94,63,108,675,1279.989143,2.23E-05,89588.0415,1998,2
2/4/98,SHR,10:30,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:30,11:00,30,294066,341697,Regular,NA,1,Aquatic Insects,Anthropoda,Insecta,Diptera,Ephydridae,,94,36,108,667,1279.989143,2.23E-05,44794.02075,1998,2
2/4/98,SHR,10:30,CLD,NA,NA,NA,NA,NA,NA,NA,NA,NA,10:30,11:00,30,294066,341697,Regular,NA,20,Aquatic Insects,Anthropoda,Insecta,Diptera,Chironomidae,,94,34,108,665,1279.989143,2.23E-05,895880.415,1998,2
