"","Fish_ID","FL","Date_month","Date_day","Date_year","WY","Date_sampled","week_no","biweekly","Region_subdivided5","Station_code","Site.Name","Lat","Long","rm_from_fp","fp","Taxa_LS_original","Taxa_LS","N","Taxa_LS_DW","DW_USE_g","Source","Notes","DW_g","excl","Stomach_fullness"
"1","DM14001",87,5,148,2014,"2014-15","5/27/2014",21,21,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","NA_A","NA_A",0,NA,NA,NA,NA,NA,"n_EMPTY","0"
"2","DM14002",62,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Amphipoda_A","Amphipoda_A",1,"Amphipoda_A",0.00082,"This study",NA,0.00082,"n","2"
"3","DM14002",62,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Cladocera_A","Cladocera_A",16,"Cladocera_A",5e-04,"This study",NA,0.008,"n","2"
"4","DM14002",62,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Copepoda_A","Copepoda_A",1,"Copepoda_A",0.00047,"This study",NA,0.00047,"n","2"
"5","DM14002",62,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_A","Diptera_A",4,"Diptera_A",0.00053,"This study",NA,0.00212,"n","2"
"6","DM14002",62,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_P","Diptera_P",1,"Diptera_P",0.00065,"This study",NA,0.00065,"n","2"
"7","DM14003",53,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Amphipoda_A","Amphipoda_A",2,"Amphipoda_A",0.00082,"This study",NA,0.00164,"n","3"
"8","DM14003",53,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Cladocera_A","Cladocera_A",30,"Cladocera_A",5e-04,"This study",NA,0.015,"n","3"
"9","DM14003",53,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Copepoda_A","Copepoda_A",1,"Copepoda_A",0.00047,"This study",NA,0.00047,"n","3"
"10","DM14003",53,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_A","Diptera_A",3,"Diptera_A",0.00053,"This study",NA,0.00159,"n","3"
"11","DM14003",53,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_P","Diptera_P",16,"Diptera_P",0.00065,"This study",NA,0.0104,"n","3"
"12","DM14004",72,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Chironomidae_L","Chironomidae_L",3,"Chironomidae_L",5e-04,"This study",NA,0.0015,"n","2"
"13","DM14004",72,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Cladocera_A","Cladocera_A",13,"Cladocera_A",5e-04,"This study",NA,0.0065,"n","2"
"14","DM14004",72,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Copepoda_A","Copepoda_A",2,"Copepoda_A",0.00047,"This study",NA,0.00094,"n","2"
"15","DM14004",72,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_A","Diptera_A",8,"Diptera_A",0.00053,"This study",NA,0.00424,"n","2"
"16","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Amphipoda_A","Amphipoda_A",1,"Amphipoda_A",0.00082,"This study",NA,0.00082,"n","3"
"17","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Cladocera_A","Cladocera_A",69,"Cladocera_A",5e-04,"This study",NA,0.0345,"n","3"
"18","DM14005",48,4,106,2014,"2014-15","4/15/2014",15,15,"Lower Sac","SS011N","Steamboat Slough",38.30472188,-121.5749397,46,"sutter","Diptera_A","Diptera_A",8,"Diptera_A",0.00053,"This study",NA,0.00424,"n","3"
